epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9492.53,1.20673,1.24519,1.43897,0.75886,0.68987,0.73675,0.44699,1.37615,1.22202,1.63228,0.0005941,0.0005941,0.0005941
43,9634.84,1.19469,1.2439,1.44028,0.72806,0.70279,0.7372,0.44795,1.36876,1.26428,1.61804,0.0005842,0.0005842,0.0005842
44,9777.66,1.18987,1.2228,1.42838,0.75126,0.72161,0.7561,0.46412,1.34995,1.18511,1.60283,0.0005743,0.0005743,0.0005743
45,9920.61,1.1887,1.23448,1.43402,0.74548,0.71848,0.75463,0.46526,1.36578,1.16182,1.60882,0.0005644,0.0005644,0.0005644
46,10063.7,1.18026,1.21342,1.41519,0.71601,0.73518,0.74089,0.45647,1.38622,1.21743,1.64436,0.0005545,0.0005545,0.0005545
47,10206.8,1.17128,1.19098,1.42039,0.75644,0.70748,0.75884,0.47194,1.35835,1.14885,1.60091,0.0005446,0.0005446,0.0005446
48,10349.6,1.16166,1.16257,1.41428,0.75623,0.69593,0.73541,0.45055,1.3687,1.16963,1.60537,0.0005347,0.0005347,0.0005347
49,10492.4,1.16575,1.17646,1.41632,0.73375,0.72033,0.74687,0.45778,1.36425,1.17941,1.62272,0.0005248,0.0005248,0.0005248
50,10634.8,1.15732,1.18472,1.41891,0.7403,0.72612,0.74862,0.46207,1.36764,1.18474,1.62322,0.0005149,0.0005149,0.0005149
51,10777.6,1.16241,1.1799,1.41486,0.76853,0.72282,0.75874,0.46928,1.34083,1.12752,1.59528,0.000505,0.000505,0.000505
52,10920,1.14272,1.16375,1.40039,0.74235,0.72181,0.74712,0.45967,1.35333,1.17161,1.61042,0.0004951,0.0004951,0.0004951
53,11062.4,1.14681,1.15798,1.40261,0.77052,0.74102,0.76457,0.4785,1.34392,1.16398,1.60113,0.0004852,0.0004852,0.0004852
54,11204.7,1.12545,1.12043,1.38663,0.76845,0.72555,0.75635,0.46763,1.33527,1.12753,1.60044,0.0004753,0.0004753,0.0004753
55,11347.1,1.14772,1.12746,1.40502,0.74649,0.71867,0.75256,0.46628,1.34846,1.17105,1.61336,0.0004654,0.0004654,0.0004654
56,11489.6,1.12785,1.12419,1.38724,0.76637,0.72255,0.76188,0.4772,1.3243,1.10062,1.5922,0.0004555,0.0004555,0.0004555
57,11632,1.12535,1.10705,1.38447,0.77,0.73398,0.77126,0.48329,1.33793,1.12052,1.60059,0.0004456,0.0004456,0.0004456
58,11774.5,1.12238,1.10733,1.38551,0.75704,0.73534,0.76114,0.46898,1.34116,1.10563,1.59603,0.0004357,0.0004357,0.0004357
59,11916.8,1.10259,1.07757,1.37032,0.75596,0.74282,0.76703,0.48136,1.32035,1.0963,1.58363,0.0004258,0.0004258,0.0004258
60,12059.2,1.11085,1.08542,1.37352,0.77494,0.72691,0.76633,0.47767,1.33974,1.10805,1.59729,0.0004159,0.0004159,0.0004159
61,12201.6,1.11112,1.07975,1.38129,0.77185,0.74267,0.77253,0.48513,1.32627,1.09316,1.57855,0.000406,0.000406,0.000406
62,12344.3,1.09448,1.08051,1.3619,0.77881,0.73716,0.77894,0.48629,1.33231,1.09334,1.59362,0.0003961,0.0003961,0.0003961
63,12486.5,1.08226,1.06891,1.36704,0.79249,0.71958,0.77144,0.48503,1.3335,1.07432,1.58159,0.0003862,0.0003862,0.0003862
64,12629.4,1.09142,1.05253,1.35589,0.7942,0.73393,0.77295,0.48614,1.32591,1.07401,1.58548,0.0003763,0.0003763,0.0003763
65,12772.3,1.08102,1.03969,1.34981,0.78169,0.74659,0.77427,0.49115,1.32525,1.05231,1.579,0.0003664,0.0003664,0.0003664
66,12915.1,1.06765,1.0191,1.34827,0.77857,0.74707,0.77325,0.4867,1.32158,1.07198,1.5816,0.0003565,0.0003565,0.0003565
