epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.925,1.23811,3.08993,1.71377,0.37526,0.39523,0.30586,0.14586,1.50238,2.54641,2.06299,0.00035387,0.00035387,0.00035387
2,295.568,1.29649,2.48136,1.7419,0.42831,0.42659,0.36798,0.1748,1.53577,2.29919,2.12228,0.000685869,0.000685869,0.000685869
3,441.966,1.2915,2.27473,1.74277,0.45693,0.45502,0.41062,0.19348,1.54527,2.2655,2.12325,0.000933877,0.000933877,0.000933877
4,580.257,1.28317,2.11536,1.72717,0.45674,0.49126,0.42388,0.20552,1.52444,2.05125,2.02578,0.000900815,0.000900815,0.000900815
5,720.618,1.25537,1.96505,1.7034,0.52609,0.54364,0.5197,0.26288,1.44295,1.84484,1.97854,0.000867753,0.000867753,0.000867753
6,858.93,1.22582,1.86513,1.66916,0.54493,0.55494,0.53086,0.26733,1.39555,1.84832,1.92479,0.000834692,0.000834692,0.000834692
